text,true_label
"The quarterly results exceeded all analyst expectations by a wide margin.",POSITIVE
"I can't believe how poorly this product was designed. Total waste of money.",NEGATIVE
"The stock declined 12% after disappointing guidance for the next fiscal year.",NEGATIVE
"An incredibly well-written book that kept me engaged from start to finish.",POSITIVE
"Shares rose sharply after the company announced a buyback program.",POSITIVE
"The service was acceptable, nothing extraordinary but nothing terrible either.",NEUTRAL
"Devastating floods have left thousands homeless across the eastern region.",NEGATIVE
"The new feature rollout has been smooth and users are responding positively.",POSITIVE
"Revenue growth has been sluggish, with margins under pressure from rising costs.",NEGATIVE
"We remain cautiously optimistic about the outlook for the second half.",NEUTRAL
